AlbumID,AlbumTitle,ReleaseDate
1,The Battle Of Los Angeles,1999-11-02
2,Rage Against The Machine,1992-11-03
3,Do It for Love,2018-04-10
4,Fridays Child,2003-12-01
5,Dart To The Heart,1994-03-01
6,Scarlet's Walk,2002-10-28
7,Rosaryville,1999-07-20
8,New Life Faded,2011-02-08
9,Waste Of Mind,1998-10-01
10,Swing Set,2000-07-11
11,To The Teeth,1999-11-16
12,Dilate,1996-05-01
13,More Joy Less Shame,1996-11-01
14,Out Of Range,1994-03-01
15,Imperfectly,1992-06-19
16,"Perhaps, I Suppose",2001-01-01
17,Big Bam Boom,1984-10-12
18,The Jesus Experience,1997-01-01
19,Live Under the Red Moon,2000-01-01
20,This Is It,2003-01-01
21,Nodesha,2003-01-01
22,Ooh Yeah!,1988-07-27
23,Westlife,1999-04-25
24,Turnaround,2003-11-24
25,Ampendectomy,1997-01-01
26,Highwayman,1985-05-01
27,The Complete Stone Roses,1995-05-15
28,Himesama Spirits,2017-05-17
29,Johnny Winter: A Rock N' Roll Collection,1973-01-01
30,We Apologise For Any Inconvenience,2010-03-01
31,Still Alive And Well,1973-01-01
32,Whole New You,2001-03-20
33,Small Planes,2001-09-25
34,Martin Rev,2002-10-08
35,Holiday Songs And Lullabies,1998-10-08
36,Last Christmas,2019-11-01
37,Psychosis,2007-09-14
38,Fat City,1992-10-27
39,Still Disappointed,2020-01-10
40,Greatest Hits,1988-08-02
41,Pickpocket's Locket,2015-08-28
42,El Rauncho Grundge,1992-01-01
43,Sessions,1998-01-01
44,Disillusion,2000-01-01
45,You Were Right,2002-10-07
46,Shooting Star,2011-12-12
47,What Another Man Spills,1998-09-08
48,I Hope You're Sitting Down,1994-09-19
49,Salle des pas perdus,2001-11-06
50,God Finds Us,2020-05-08
51,Patient,2019-02-04
52,Transatlanticism,2003-10-07
53,"Furthermore: From the Studio, From the Stage",2003-02-04
54,Let Your Dim Light Shine,1995-06-06
55,Left Of The Middle,1997-11-10
56,Calls,2016-10-03
57,The Moon & Antarctica,2000-06-13
58,Rooftops,1991-01-01
59,Mirrors,1979-01-01
60,Sister Sadie,2016-06-03
61,Western Standard Time,1988-08-23
62,Ultimate Alternative Wavers,1993-05-01
63,"Favorite Chopin, Vol. 2",1962-01-01
64,Jack's Crows,1991-04-05
65,Out Of The Valley,1994-04-18
66,Between Five And Seven,1996-08-12
67,Rain Maiden,1989-01-18
68,Spaced Out,2010-09-01
69,Educated Guess,2004-01-20
70,30th Anniversary Sampler,2015-04-01
71,Greatest Hits,1999-09-14
72,Drowning By Proxy,2009-05-01
73,Annunciation,1994-03-14
74,Con El Mariachi Vargas De Tecalitlan (with El Mariachi Vargas de Tecalitlán),1996-01-11
75,La Place Demon,2011-04-01
76,Generation Starwars,2000-01-01
77,Kagel: Playback Play,2014-08-01
78,Songs From The Grass String Ranch,2000-08-08
79,Fomf (Fuck out My Face),2017-12-28
80,Baptizing,2005-04-19
81,The Best Of - Volume One,2000-11-28
82,Great Big Boy,1991-07-18
83,Terminal Twilight,2011-08-11
84,Harass Me,2018-12-06
85,Sick'em,1992-05-01
86,Kill Rock Stars,2005-01-01
87,Enjoy Incubus,1997-01-01
88,My Squad (Moskva),2019-03-06
89,Seven Turns,1990-07-03
90,A Decade Of Hits,1973-01-01
