ArtistID,ArtistName
1,Rage Against The Machine
2,Daryl Hall & John Oates
3,Will Young
4,Bruce Cockburn
5,Tori Amos
6,Kate Campbell
7,Death & Desire
8,zebrahead
9,Ani DiFranco
10,Rufio
11,Bride
12,The Call
13,Nodesha
14,Nodesha
15,ABS
16,Westlife
17,Resurrection Band
18,The Highwaymen
19,The Stone Roses
20,Mahousyoujoninaritai
21,Johnny Winter
22,Zorras
23,Shawn Colvin
24,The Innocence Mission
25,Martin Rev
26,Lucy Dacus
27,Reflected Illusions
28,Stormzy
29,The Judds
30,Frog Eyes
31,Too Slim and the Taildraggers
32,Carter The Unstoppable Sex Machine
33,Badly Drawn Boy
34,Badly Drawn Boy
35,Badly Drawn Boy
36,Lambchop
37,Coralie Clement
38,Jason Upton
39,Wiz
40,Death Cab for Cutie
41,Jars Of Clay
42,Soul Asylum
43,Natalie Imbruglia
44,Natalie Imbruglia
45,Norman Cooper
46,Modest Mouse
47,Peter Kater
48,Blue Öyster Cult
49,Sister Sadie
50,Asleep At The Wheel
51,Built To Spill
52,Frédéric Chopin
53,John Gorka
54,Wind Machine
55,Tylman Susato
56,George Enescu
57,Gabriela Lena Frank
58,Franz Liszt
59,Sergei Rachmaninoff
60,Franz Liszt
61,Dominick Argento
62,Richard Danielpour
63,Stanisław Skrowaczewski
64,John Tavener
65,Johann Sebastian Bach
66,Erik Satie
67,Ottorino Respighi
68,Pure Prairie League
69,Full Catastrophe Living
70,The Subdudes
71,Juan Gabriel
72,Tied & Tickled Trio
73,Alec Empire
74,Mauricio Kagel
75,The Kentucky Headhunters
76,Nuckles
77,The Seldom Scene
78,Silverchair
79,Silverchair
80,Leo Kottke
81,White Willow
82,7 Year Bitch
83,Bratmobile
84,Some Velvet Sidewalk
85,Courtney Love
86,Nation of Ulysses
87,Unwound
88,Mecca Normal
89,Heavens To Betsy
90,Steve Fisk
91,Bikini Kill
92,Witchy Poo
93,Melvins
94,Infamous Menagerie
95,Kicking Giant
96,Fitz of Depression
97,Jad Fair
98,Kreviss
99,Incubus
100,Allman Brothers Band
101,The Charlie Daniels Band
102,Rebecca Hickman
103,Alan Parsons
104,Black Sabbath
105,Marilyn Manson
106,Slipknot
107,Papa Roach
108,Linkin Park
109,Zakk Wylde's Black Label Society
110,Disturbed
111,Mudvayne
112,Drowning Pool
113,The Union Underground
114,Otep
115,Nonpoint
116,Hatebreed
117,Systematic
118,Pure Rubbish
119,American Head Charge
120,LeAnn Rimes
121,Iggy Azalea
122,In the Machine
123,Magic Sam
124,Witold Lutosławski
125,Victor Ewald
126,Cliff Colnot
127,Eric Ewazen
128,Anders Hillborg
129,Paquito D'Rivera
130,Cranes
131,Toad The Wet Sprocket
132,Pete Yorn
133,The Raveonettes
134,The Mooney Suzuki
135,Flick
136,Stereomud
137,Memento
138,Fingertight
139,The Ataris
140,Start Trouble
141,Kenna
142,Crossfade
143,Head On
144,Endo
145,The Coral
146,Porch Ghouls
147,Overseer
148,Seafieldroad
149,Deathbreaker
150,Deathbreaker
151,David & Steve Gordon
152,Blamstrain
153,Organillero
154,Maldita Vecindad Y Los Hijos Del 5to. Patio
155,Warren Sonny Wahpepah Nima-Wah
156,Evie Ladin Band
157,Pietro Locatelli
158,Morgan Wallen
159,Zombie Apocalypse
160,Pearl Jam
161,Sugarcult
162,The Psychedelic Furs
163,Thea K
164,The National Philharmonic Orchestra And Chorus
165,The Hit Crew
166,Matthew Dear
167,Coffin Lids
168,Basement Jaxx
169,Les Wampas
170,Boards of Canada
171,Ludwig van Beethoven
172,"Jadox, DJ mr"
173,Jadox
174,"Jadox, Dave Derrilykt, Dickumz Da Ox"
175,"Jadox, Mane Azeem"
176,"Jadox, Nemesis"
177,"Jadox, Muenster Emcee"
178,Geographic Empire
179,"Jadox, Gully Glue"
180,"Jadox, Shawn McQuaid"
181,"Jadox, Dickumz Da Ox"
182,"Jadox, Fab Deuce, Digo"
183,"Jadox, Dave Lara"
184,"Jadox, Trauma King, Dickumz Da Ox"
185,*NSYNC
186,*NSYNC
187,Pop Will Eat Itself
188,William Hung
189,Stay Out
190,Tribes Of Neurot
191,Scottt Catolico
192,Benjamin Britten
193,Edward Elgar
194,Steve Glotzer
195,BotchiBoromaru
196,K_a_i_n
197,Patti Smith
198,Bebe Rexha
199,Mary Chapin Carpenter
200,Hunter Hayes
201,Ron Ringwood´s Gospel Messengers
202,Crash Test Dummies
203,Plumb
204,M. Ward
205,Aterciopelados
206,Bad Brains
207,The Shallows
208,Haindling
209,Blues Company
210,Northcape
211,Washington Saxophone Quartet
212,The Magnetic Fields
213,José Alfredo Jimenez
214,José Alfredo Jimenez
215,Amalia Mendoza
216,José Alfredo Jimenez
217,José Alfredo Jimenez
218,Yanni
219,Else & Poki
220,Monica
221,Brandy
222,Monica
223,Monica
224,Pablo Alborán
225,Mariah Carey
226,Mariah Carey
227,Mariah Carey
228,Lit
229,Cousteau
230,Thomas Martin
231,Dog's Eye View
232,Manic Street Preachers
233,Eve 6
234,Nine Days
235,The Juliana Theory
236,Matthew Sweet
237,Clubroot
238,Tim McGraw
239,Jon E Bravo
240,Roman Yakub
241,Marc Anthony
242,Jello Biafra
243,Jim Brickman
244,Jim Brickman
245,Grant-Lee Phillips
246,Ben Folds
247,Indigo Girls
248,Cyndi Lauper
249,Cypress Hill
250,Josh Joplin Group
251,Third Day
252,Ben Folds Five
253,Eleventh Dream Day
254,Macy Gray
255,Susan Tedeschi
256,Bruce Hornsby
257,The Tories
258,Uncle Tupelo
259,Zephaniah
260,Brooks & Dunn
261,Cave
262,New Kids On The Block
263,Max Bruch
264,Mariahlynn
265,Mariahlynn
266,The Legendary Pink Dots
267,Vitamin String Quartet
268,The Gaskets
269,Forbidden Friends
270,Megan Thee Stallion
271,Megan Thee Stallion
272,Megan Thee Stallion
273,Megan Thee Stallion
274,Megan Thee Stallion
275,Megan Thee Stallion
276,Megan Thee Stallion
277,Megan Thee Stallion
278,Megan Thee Stallion
279,Anna Shoemaker
280,System Of A Down
281,Kane Hodder
282,Ozzy Osbourne
283,Rick Astley
284,Throneberry
285,Sahara Hotnights
286,Anna Shoemaker
287,Renke
288,Becca
289,Astrud Gilberto
290,Inara George
291,Sarah Vaughan
292,Alison Krauss
293,Susannah McCorkle
294,Eman
295,Mason Williams
296,Michael Andrew
297,John Debney
298,UGK
299,UGK
300,UGK
301,UGK
302,UGK
303,UGK
304,UGK
305,UGK
306,Ludwig van Beethoven
307,Franz Schubert
308,First Lady Assassins
309,Faithless
310,Faithless
311,Faithless
312,Faithless
313,Faithless
314,Ambush Aces
315,Elliott Smith
316,Mike Fageros
317,Ludwig van Beethoven
318,Ludwig van Beethoven
319,Cul De Sac
320,Tipper
321,Jerome Alexander
322,Jay-Ray & Gee
323,The Sensational Uptowners
324,The Melismatics
325,Ullian Pipers Of Ireland
326,Breton Pipers
327,Galician Pipers
328,Highland Pipers Of Scotland
329,The Triumph Street Band Of Canada
330,10kdunkin
331,The Alrights
332,Marcus Strickland
333,Alfredo Piatti
334,The Echoing Green
335,Billy Kay
336,Purfakt
337,Jonah Hodges
338,Riot
339,Jay Ungar
340,Sweet Honey In The Rock
341,Ronnie Gilbert
342,The United States Military Academy Band
343,Kathy Mattea
344,John Hartford
345,Waylon Jennings
346,Richie Havens
347,Judy Collins
348,Kate & Anna McGarrigle
349,Hoyt Axton
350,Kate & Anna McGarrigle
351,Kate & Anna McGarrible And Families
352,STAFF SGT. STEVE LUCK
353,10kdunkin
354,10kdunkin
355,10kdunkin
356,10kdunkin
357,10kdunkin
358,10kdunkin
359,10kdunkin
360,10kdunkin
361,10kdunkin
362,The Hearkening
363,Nym
364,Kim And Reggie Harris
365,10kdunkin
366,10kdunkin
367,10kdunkin
368,Luna Blanca
369,Dan Sartain
370,Tom Butler
371,Gloria Estefan
372,Gloria Estefan
373,Gloria Estefan And Miami Sound Machine
374,Badly Drawn Boy
375,PALO!
376,Lewis Wright
377,Garrett N.
378,Hybrid
379,Hybrid
380,Hybrid
381,Hybrid
382,Hybrid
383,Hybrid
384,Dave Gerard
385,Mike Meehan and the Lucky Ones
386,Madilyn Bailey
387,Noe Venable
388,Yoe Mase
389,Bob Dylan
390,Patti Smith
391,Brother Dege
392,Danny Elfman
393,B.J. Thomas
394,Alkaline Trio
395,The Dillinger Escape Plan
396,Action Bronson
397,Action Bronson
398,Action Bronson
399,Action Bronson
400,Action Bronson
401,Eric Thompson
402,Moriah
403,Ellen Allien
404,Roger Clyne & The Peacemakers
405,Tali Goya
406,Caroline Lavelle
407,Thou
408,Abraham Adzinyah
409,Eddoe Smigs
410,Aki Takase
411,Yngwie Malmsteen
412,Pretty Girls Make Graves
413,Swod
414,RhymeCrusaderz
415,RhymeCrusaderz
416,RhymeCrusaderz
417,RhymeCrusaderz
418,RhymeCrusaderz
419,RhymeCrusaderz
420,The Urban Voodoo Machine
421,The Urban Voodoo Machine
422,The Urban Voodoo Machine
423,The Urban Voodoo Machine
424,Erin McKeown
425,Everyday Sunday
426,TKKG
427,Life After Life
428,Rich The Kid
429,Rich The Kid
430,Rich The Kid
431,Rich The Kid
432,Northern Lights
433,Kenny Chesney
434,Kenny Chesney
435,Scribz Riley
436,Scribz Riley
437,Scribz Riley
438,Scribz Riley
439,Scribz Riley
440,Teety Blue
441,Teety Blue
442,Teety Blue
443,Teety Blue
444,Teety Blue
445,2 Skinnee J's
446,Hoaprox
447,King Chango
448,At The Gates
449,Witches
450,Kana Nishino
451,Minor Poet
452,Kid606
453,Stephan Mathieu
454,Kurt Ralske
455,Electric Company
456,Pimmon
457,Tim Hecker
458,Main
459,Oren Ambarchi
460,Destra Garcia
461,Destra Garcia
462,Destra Garcia
463,Destra Garcia
464,Eric Hilton
465,Eric Hilton
466,Jimmy Cliff
467,Vashti Bunyan
468,John Lester
469,spencer albee
470,spencer albee
471,[Indistinct Chatter]
472,McGuffey Lane
473,Midy
474,Masuta
475,Travis Tritt
476,Gabriel Fauré
477,Pablo Casals
478,Anonymous
479,Gabriel Fauré
480,Gabriel Fauré
481,Sockpuppet
482,"Hank Williams, Jr."
483,"Hank Williams, Jr."
484,"Hank Williams, Jr."
485,Destra
486,Destra
487,L.A. Guns
488,David Lee Roth
489,David Lee Roth
490,David Lee Roth
491,David Lee Roth
492,David Lee Roth
493,David Lee Roth
494,David Lee Roth
495,David Lee Roth
496,David Lee Roth
497,David Lee Roth
498,David Lee Roth
499,Audioslave
500,Sugar Blue
501,(dc)
502,Lymbyc Systym
503,Layo & Bushwacka!
504,Dee Snider
505,Gastr Del Sol
506,Laurie Lewis
507,Laurie Lewis
508,Laurie Lewis
509,Laurie Lewis
510,Laurie Lewis
511,Leonard Cohen
512,Angelo Badalamenti
513,Angelo Badalamenti
514,Lizzie West
515,$hoey
516,$hoey
517,$hoey
518,$hoey
519,$hoey
520,REO Speedwagon
521,Tim Motzer
522,Hubert Kah
523,Lil' O
524,Dillanoiz
525,Dillanoiz
526,Dillanoiz
527,Dillanoiz
528,Dillanoiz
529,Flee Lord
530,Flee Lord
531,Matt Muse
532,Matt Muse
533,Matt Muse
534,Drop Trio
535,Joseph Nothing
536,Michael Hedges
537,Edward Shearmur
538,Jane Monheit
539,Wardruna
540,Paladino
541,Johann Sebastian Bach
542,Camille Saint-Saëns
543,Charles Gounod
544,Modest Mussorgsky
545,Hector Berlioz
546,Edvard Grieg
547,Franz Liszt
548,Paul Dukas
549,Emma Cherry
550,Taktika
551,Taktika
552,Taktika
553,Taktika
554,Taktika
555,MAX BLACK
556,MAX BLACK
557,Rashid Kalimullin
558,Lennox Berkeley
559,Lennox Berkeley
560,Dieter Acker
561,André Jolivet
562,Paul Hindemith
563,Shenandoah
564,Tweaker
565,Dead Or Alive
566,Ennio Morricone
567,Keith Emerson
568,Rick Wakeman
569,Jordan Rudess
570,Chuck Leavell
571,Chris Ingles
572,David Bryan
573,Patrick Moraz
574,Brian Auger
575,Mark Robertson
576,Tony Hymas
577,Dizzy Reed
578,Steve Porcaro
579,AJJ
580,The Gunshy
581,Big Brother & The Holding Company
582,Flying Saucer Attack
583,The Exploders
584,Oval
585,Shitmat
586,Lackluster
587,Proem
588,Landau
589,Acda en de Munnik
590,MD
591,Leonard Bernstein
592,George Gershwin
593,Gustav Mahler
594,Charles Ives
595,Janis Ian
596,Venetian Snares
597,Rosie Gaines
598,Jahari Massamba Unit
599,Girlschool
600,Howard Givens
601,Syndrone
602,Lateduster
603,Shari Ulrich
604,Cypress Hill
605,Cypress Hill
606,Cypress Hill
607,Cypress Hill
608,William Basinski
609,MALMØ
610,Arnold Schoenberg
611,Arnold Schoenberg
612,Arnold Schoenberg
613,Arnold Schoenberg
614,Arnold Schoenberg
615,Arnold Schoenberg
616,Arnold Schoenberg
617,Arnold Schoenberg
618,Arnold Schoenberg
619,Arnold Schoenberg
620,Michael J. Schumacher
621,Jenn Grant
622,Sulu Babylon
623,Jo Dee Messina
624,The Plus Ones
625,Tim McGraw
626,David Arnold
627,Alejandra Guzman
628,Hayden
629,John Hiatt
630,Angèle Dubeau
631,Mike Charles
632,Los Planetas
633,Mokira
634,Andrew Tuttle
635,Andrew Tuttle
636,Andrew Tuttle
637,Franz Lehár
638,Wil Wheaton
639,Wil Wheaton
640,Wil Wheaton
641,Le Yu
